,rank,username,article_link,date,views,creator_club_status,article_cat
0,1,Sion,https://www.analyticsvidhya.com/blog/2021/06/a-comprehensive-tutorial-on-deep-learning-part-2/,2021-06-13,34456,1,"Advanced,Deep Learning,Python"
1,2,barney6,https://www.analyticsvidhya.com/blog/2021/06/polars-the-fastest-dataframe-library-youve-never-heard-of/,2021-06-19,27767,1,"Beginner,Data Science,Libraries,Python,python"
2,3,rahul105,https://www.analyticsvidhya.com/blog/2021/06/lollipop-charts-advanced-data-visualization-in-python/,2021-06-20,25609,1,"Beginner,Data Visualization,Libraries,Project,Python"
3,4,jrath2001,https://www.analyticsvidhya.com/blog/2021/06/steal-the-code-ethically-get-better-at-ml-ai-research/,2021-06-13,21065,1,"Beginner,Career,Researchers &amp; Scientists"
4,5,aashi73,https://www.analyticsvidhya.com/blog/2021/06/must-known-data-visualization-techniques-for-data-science/,2021-06-07,19245,1,"Beginner,Data Exploration,Data Visualization,Python,Structured Data"
5,6,shraddhashekhar,https://www.analyticsvidhya.com/blog/2021/06/start-freelancing-in-data-science-data-analytics/,2021-06-17,19077,1,"Beginner,Career,Data Science,Job Roles"
6,7,rahul105,https://www.analyticsvidhya.com/blog/2021/06/donut-plots-data-visualization-with-python/,2021-06-15,18472,1,"Beginner,Data Visualization,Programming,Python,Structured Data"
7,8,lavanya@99,https://www.analyticsvidhya.com/blog/2021/06/implementing-python-to-learn-data-engineering-etl-process/,2021-06-27,18037,1,"Beginner,Data Engineering,Datetime,Programming,Python"
8,9,rahul105,https://www.analyticsvidhya.com/blog/2021/06/performance-comparision-of-tuned-and-untuned-classification-models/,2021-06-23,17922,1,"Algorithm,Classification,Intermediate,Machine Learning,Programming,Project,Python,Structured Data,Supervised"
9,10,rahul105,https://www.analyticsvidhya.com/blog/2021/06/tune-hyperparameters-with-gridsearchcv/,2021-06-23,17028,1,"Algorithm,Classification,Intermediate,Machine Learning,Project,Python,Structured Data,Supervised"
10,11,gunjan28,https://www.analyticsvidhya.com/blog/2021/06/15-functions-you-should-know-to-master-lists-in-python/,2021-06-12,13900,1,"Beginner,Programming,Python"
11,12,nilabhnishchhal,https://www.analyticsvidhya.com/blog/2021/06/join-the-dataframes-like-sql-tables-in-python-using-pandas/,2021-06-28,13887,1,"Beginner,Programming,Project,Python,SQL"
