,rank,username,article_link,date,views,creator_club_status,article_cat
0,1,rahul105,https://www.analyticsvidhya.com/blog/2021/09/beginners-guide-to-create-pyspark-dataframe/,2021-09-13,17801,1,"Beginner,Data Engineering,Programming,Python,Spark"
1,2,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/08/python-tutorial-working-with-csv-file-for-data-science/,2021-08-21,16481,1,"Beginner,Programming,Python"
2,3,akashsky1313gmail-com,https://www.analyticsvidhya.com/blog/2021/09/ok-google-speech-to-text-in-python-with-deep-learning-in-2-minutes/,2021-09-10,13921,0,"Advanced,Deep Learning,Libraries,NLP,Project,Python,Text,Unsupervised"
3,4,shivani46,https://www.analyticsvidhya.com/blog/2021/09/predicting-stock-prices-with-tensorflow/,2021-09-04,10635,1,"Beginner,Deep Learning,Project,Python,Time Series"
4,5,anshul508,https://www.analyticsvidhya.com/blog/2021/08/decision-tree-algorithm/,2021-08-29,9085,0,"Algorithm,Beginner,Classification,Data Science,Machine Learning,Supervised"
5,6,agrawal71,https://www.analyticsvidhya.com/blog/2021/09/posture-detection-using-posenet-with-real-time-deep-learning-project/,2021-09-05,8625,0,"Advanced,Artificial Intelligence,Computer Vision,Deep Learning,Libraries,Project,Python,Technique"
6,7,rahul105,https://www.analyticsvidhya.com/blog/2021/09/essential-pyspark-dataframe-column-operations-that-data-engineers-should-know/,2021-09-16,7121,1,"Beginner,Data Engineering,Python,Spark"
7,8,rahul105,https://www.analyticsvidhya.com/blog/2021/09/unique-data-visualization-techniques-to-make-your-plots-stand-out/,2021-09-13,7080,1,"Beginner,Data Exploration,Data Visualization,Python"
8,9,prashantsharma16,https://www.analyticsvidhya.com/blog/2021/08/everything-a-beginner-should-know-about-list-comprehension-in-python-before-starting-your-data-science-journeywith-examples/,2021-08-26,6781,0,"Beginner,Programming,Python"
9,10,ashwini10,https://www.analyticsvidhya.com/blog/2021/09/four-data-engineering-fundamentals-all-data-scientists-must-know/,2021-09-14,6379,0,"Data Engineering,Data Science,Intermediate,Profile Building"
10,11,shivani46,https://www.analyticsvidhya.com/blog/2021/09/model-deployment-keras-model-as-a-python-web-application/,2021-09-04,5900,1,"Deep Learning,Intermediate,MLops,Model Deployment,Programming,Project,python"
